Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status
57-437-1828,Plum,Fruits & Vegetables,54-226-4308,Topicstorm,37,30,74,$4.00 ,7/3/2024,10/11/2024,10/5/2024,15068 Scoville Court,62,25,Backordered
39-629-5554,Egg (Goose),Dairy,67-679-4930,Muxo,44,90,17,$2.50 ,2/3/2025,4/9/2024,2/5/2025,267 International Plaza,21,91,Discontinued
66-268-8345,Greek Yogurt,Dairy,32-182-1895,Thoughtstorm,91,84,11,$3.00 ,12/4/2024,6/2/2024,1/8/2025,550 Clemons Plaza,56,90,Active
46-452-9419,Egg (Duck),Dairy,67-137-4215,Wordify,43,10,15,$1.00 ,11/18/2024,11/14/2024,7/8/2024,55782 Welch Hill,27,69,Active
11-073-0189,Plum,Fruits & Vegetables,75-190-3627,Voomm,95,50,76,$4.00 ,4/5/2024,9/21/2024,5/6/2024,5104 Jana Court,69,5,Active
22-621-2774,Strawberries,Fruits & Vegetables,70-901-6191,Babblestorm,54,26,16,$6.00 ,3/11/2024,6/30/2024,6/14/2024,00 Drewry Court,63,97,Active
39-449-0772,Feta Cheese,Dairy,84-504-7617,Youfeed,94,13,15,$7.00 ,2/27/2024,4/2/2024,10/5/2024,195 Portage Junction,20,24,Backordered
82-041-7211,Swiss Cheese,Dairy,03-615-0558,Reallinks,49,49,26,$8.00 ,9/10/2024,5/19/2024,7/1/2024,285 1st Park,78,61,Discontinued
25-349-7974,Spinach,Fruits & Vegetables,82-737-6019,Devshare,72,70,99,$2.50 ,10/7/2024,5/28/2024,6/22/2024,42 Bunker Hill Junction,82,32,Discontinued
66-627-9752,Trout,Seafood,87-839-6400,Jabbertype,49,73,48,$12.00 ,8/17/2024,10/1/2024,9/3/2024,08 Randy Junction,52,62,Active
78-614-4402,Green Beans,Fruits & Vegetables,51-014-4287,Gigazoom,81,99,28,$2.00 ,9/30/2024,2/14/2025,4/25/2024,37 Browning Trail,20,85,Discontinued
67-025-1245,Cabbage,Fruits & Vegetables,28-575-0716,Chatterbridge,88,46,55,$1.00 ,4/9/2024,3/6/2024,8/12/2024,51890 Lindbergh Terrace,73,63,Active
68-418-6724,Parmesan Cheese,Dairy,75-465-6257,Feedspan,63,4,85,$12.00 ,12/21/2024,1/13/2025,9/30/2024,49869 Bunker Hill Terrace,59,71,Active
02-508-3777,Egg (Quail),Dairy,69-933-2582,Realpoint,97,88,81,$0.80 ,11/5/2024,7/7/2024,6/26/2024,895 Northland Hill,97,18,Discontinued
79-741-0770,Mushrooms,Fruits & Vegetables,67-771-7656,Photospace,72,87,39,$6.00 ,6/24/2024,2/24/2025,3/17/2024,91 Kinsman Terrace,94,57,Active
16-499-5059,Pear,Fruits & Vegetables,09-090-6360,Centizu,77,20,5,$4.50 ,8/18/2024,11/19/2024,12/20/2024,3 Hooker Way,61,62,Discontinued
76-340-4432,Cucumber,Fruits & Vegetables,79-915-4185,Brainverse,19,36,72,$1.75 ,5/3/2024,3/28/2024,3/6/2024,157 David Center,31,81,Backordered
38-732-7667,Pineapple,Fruits & Vegetables,88-663-3393,Photojam,18,52,22,$3.50 ,8/23/2024,10/13/2024,9/28/2024,3645 Ridge Oak Drive,42,32,Backordered
73-401-5721,Haddock,Seafood,38-622-5251,Midel,46,28,73,$9.00 ,5/28/2024,10/28/2024,12/26/2024,582 Sauthoff Crossing,65,57,Discontinued
